UniqueGameId,PlayerNumber,BoardLocation,Spin,Player1Loc,Player2Loc,Player3Loc,Player4Loc,Player5Loc,Player6Loc,SelectedMove,PlayerWonGame
7e0e986a-e9ac-44d4-9dfa-d0eb9997dc11,4,45,5,21,69,35,11,48,42,11,0
61a3a362-3bc5-4852-bc26-c9901f39e4db,4,45,5,79,85,15,11,47,26,11,0
fb148e0b-9751-4404-8f15-2d52dd442363,1,45,5,50,35,52,36,43,43,50,0
0840df27-579f-48ab-9932-da42ab6e97a0,1,45,5,50,35,52,36,43,43,50,0
aac5544c-20fd-423b-a1fd-bea84eeb6db9,1,45,5,11,27,37,21,93,33,11,0
bc6b1642-eb49-4ffa-bbf7-e2b39280eb60,1,45,5,11,27,37,21,93,33,11,0
4a29ddf3-e3cd-41c5-8aca-c03c1b4179bf,6,45,5,39,63,54,47,54,50,50,0
8dea6634-1310-49f5-aa15-b942a9af7fc5,6,45,5,39,63,54,47,54,50,50,0
7090811d-6b7a-49f5-bc89-8f59d8ad9b7a,4,45,5,26,46,85,28,24,87,28,0
33cedf13-a59c-4501-af67-deb34a157476,1,45,5,11,27,45,47,47,46,11,0
7a7e740f-d3b4-4cef-85ec-d78ed27881d2,5,45,5,35,46,47,26,11,45,11,0
7a7e740f-d3b4-4cef-85ec-d78ed27881d2,1,45,5,11,13,11,84,6,29,11,0
90a60b13-7c38-4d10-a54a-2dc20244ff0a,1,45,5,50,33,42,32,42,36,50,0
b3e69c2a-6a4b-481a-9744-4b0d04ba10c8,1,45,5,50,33,42,32,42,36,50,0
338a660e-2499-4fc4-bf41-9469b18c3157,4,45,5,57,47,67,50,50,44,50,0
bebdcc94-580b-4485-a216-b595f64a79ae,4,45,5,57,47,67,50,50,44,50,0
4ed047c2-b3ad-4075-aa0d-ecb789751663,4,45,5,57,47,67,50,50,44,50,0
d050b1ef-0cca-4f42-800f-e95b1c0ea26d,6,45,5,26,27,86,44,91,11,11,0
d050b1ef-0cca-4f42-800f-e95b1c0ea26d,4,45,5,89,73,85,11,93,12,11,0
c600146e-2b67-48cf-80c3-2d49f2c7570c,6,45,5,26,27,86,44,91,11,11,0
c600146e-2b67-48cf-80c3-2d49f2c7570c,4,45,5,89,73,85,11,93,12,11,0
5cd88f89-ce35-4c50-aec9-7877c62341fb,5,45,5,49,45,49,51,50,48,50,0
8eb907d7-a441-40f7-a775-6add258674ed,6,45,5,11,28,29,28,35,11,11,0
8eb907d7-a441-40f7-a775-6add258674ed,5,45,5,33,85,45,74,11,6,11,0
4a6d224e-dcb2-409d-88c3-94af32c2ee6c,2,45,5,14,11,36,29,27,27,11,0
4315c8b4-9f54-49be-98e0-df1f7a930896,2,45,5,14,11,36,29,27,27,11,0
cf4485c8-8d8d-4463-9ed1-028542a38a2d,2,45,5,14,11,36,29,27,27,11,0
89485014-e2f1-4386-8bb6-bf8312119da9,2,45,5,14,11,36,29,27,27,11,0
3ce23f33-1e38-4a3b-8da7-09c1e538ddf8,4,45,5,42,59,38,50,39,47,50,1
6014853d-2446-4eaf-9062-decb819b2714,4,45,5,42,59,38,50,39,47,50,1
9e57e237-9a9f-454a-bad3-5a925348d5c2,4,45,5,42,59,38,50,39,47,50,1
8e14503f-1dee-4b1e-9cf8-ee983e1f9eaf,6,45,5,54,61,52,56,70,50,50,0
f07685bf-d46f-43d6-868c-9356d3eb4986,5,45,5,36,99,67,49,11,19,11,0
39da0944-c840-43ac-8b3d-e08d1d68737e,5,45,5,36,99,67,49,11,19,11,0
